key,label
a00378.png,8
a03101.png,3
a01991.png,2
a01699.png,8
a02378.png,4
a01519.png,4
a02863.png,9
a00453.png,5
a01133.png,7
a03351.png,1
a02407.png,8
a00878.png,0
a00096.png,3
a01550.png,9
a02069.png,8
a01040.png,7
a02778.png,6
a00692.png,5
a00762.png,4
a01385.png,9
a02389.png,3
a02164.png,2
a00516.png,9
a00587.png,7
a02240.png,6
a03080.png,3
a03175.png,0
a02265.png,4
a00335.png,6
a00657.png,2
a00676.png,4
a03259.png,6
a02381.png,1
a01696.png,5
a02783.png,4
a01331.png,7
a02526.png,9
a03124.png,3
a01351.png,5
a00621.png,4
a00467.png,8
a02941.png,6
a00525.png,2
a02745.png,8
a01886.png,9
a01137.png,9
a00585.png,4
a03254.png,1
a02406.png,8
a02609.png,6
a01546.png,4
a01161.png,7
a02446.png,0
a01412.png,9
a03045.png,6
a00978.png,8
a00297.png,0
a02655.png,6
a01081.png,8
a03348.png,5
a01619.png,6
a03307.png,2
a00681.png,0
a03233.png,6
a03234.png,8
a01809.png,7
a02392.png,1
a00602.png,2
a02629.png,2
a02315.png,9
a01357.png,3
a03441.png,0
a02302.png,2
a02598.png,7
a01665.png,7
a02696.png,1
a03290.png,6
a00774.png,0
a01289.png,1
a01862.png,4
a02322.png,7
a01243.png,3
a00252.png,6
a03436.png,8
a00182.png,4
a01356.png,3
a00062.png,4
a00066.png,2
a00229.png,9
a03178.png,0
a02610.png,5
a02440.png,3
a00475.png,1
a02078.png,7
a00973.png,1
a01172.png,9
a00702.png,7
a01000.png,6
a02269.png,3
a01680.png,7
a00134.png,7
a00940.png,2
a03245.png,7
a03473.png,7
a01386.png,8
a00791.png,6
a00198.png,4
a00671.png,0
a01751.png,1
a02786.png,1
a01840.png,4
a01269.png,0
a03379.png,7
a00665.png,4
a00273.png,8
a00211.png,3
a00042.png,2
a01343.png,8
a02126.png,4
a02338.png,6
a01579.png,4
a02165.png,6
a01317.png,0
a00868.png,7
a02080.png,2
a02085.png,5
a01674.png,3
a00094.png,5
a01960.png,5
a01288.png,0
a01252.png,7
a01655.png,8
a00863.png,2
a02675.png,4
a02798.png,5
a01381.png,0
a03098.png,7
a02917.png,3
a00368.png,6
a00777.png,0
a02258.png,9
a02330.png,4
a00109.png,2
a02937.png,1
a03478.png,5
a00998.png,8
a02707.png,3
a00207.png,3
a03086.png,5
a00417.png,5
a00029.png,7
a02784.png,7
a02016.png,9
a02873.png,2
a02456.png,8
a01776.png,8
a01499.png,3
a02546.png,4
a01015.png,0
a02331.png,2
a00603.png,5
a02738.png,1
a02283.png,5
a01384.png,4
a01307.png,4
a00213.png,3
a00114.png,8
a01488.png,8
a03313.png,3
a02367.png,9
a00626.png,9
a02481.png,7
a01596.png,1
a02479.png,3
a00511.png,0
a00174.png,0
a02354.png,5
a01101.png,9
a00498.png,3
a00639.png,0
a01760.png,8
a01077.png,6
a02837.png,3
a01282.png,9
a03144.png,9
a03392.png,4
a01678.png,7
a01262.png,9
a01898.png,2
a02403.png,6
a02551.png,7
a02167.png,3
a00591.png,7
a03170.png,5
a01350.png,9
a01432.png,6
a02637.png,0
a02721.png,8
a01093.png,1
a02939.png,1
a02230.png,1
a02590.png,3
a02465.png,4
a01299.png,7
a02211.png,9
a02906.png,4
a00842.png,5
a03384.png,8
a00666.png,2
a01871.png,0
a01532.png,8
a01410.png,6
a02966.png,4
a02587.png,8
a01928.png,0
a03344.png,8
a01624.png,5
a01907.png,6
a00670.png,3
a03260.png,4
a02180.png,5
a01815.png,3
a02901.png,4
a01013.png,5
a00753.png,4
